invoice_id,date,vendor,category,business_unit,amount,description,approved_by,payment_status
INV-77166,2024-03-08,Delta Airlines,Travel & Expenses,Engineering,1400.73,Travel & Expenses - Delta Airlines,Auto-approved,Paid
INV-45916,2024-03-08,Meta Ads,Marketing & Advertising,Sales,70630.75,Marketing & Advertising - Meta Ads,Manager,Paid
INV-95267,2024-03-08,Mailchimp,Marketing & Advertising,Sales,4999,Marketing & Advertising - Mailchimp,Manager,Pending
INV-80804,2024-03-10,LinkedIn Marketing,Marketing & Advertising,HR,31397.34,Marketing & Advertising - LinkedIn Marketing,Auto-approved,Paid
INV-57059,2024-03-12,Amazon Business,Office Supplies,Finance,976.14,Office Supplies - Amazon Business,Manager,Pending
INV-84720,2024-03-12,KPMG LLP,Professional Services,HR,197288.08,Professional Services - KPMG LLP,VP,Paid
INV-66280,2024-03-12,MSFT,IT & Software,Engineering,113114.4,IT & Software - MSFT,VP,Paid
INV-79531,2024-03-13,Workday HCM,HR & Recruitment,Engineering,37307.48,HR & Recruitment - Workday HCM,Director,Pending
INV-78125,2024-03-13,Amazon Business,Office Supplies,Engineering,3572.68,Office Supplies - Amazon Business,Auto-approved,Paid
INV-28964,2024-03-16,Mailchimp,Marketing & Advertising,Finance,63197.18,Marketing & Advertising - Mailchimp,Director,Paid
INV-81874,2024-03-16,JLL Property,Facilities & Real Estate,HR,8436.86,Facilities & Real Estate - JLL Property,VP,Pending
INV-55015,2024-03-18,Office Depot,Office Supplies,HR,4790.73,Office Supplies - Office Depot,Manager,Paid
INV-10074,2024-03-23,PwC Advisory,Professional Services,Finance,137147.86,Professional Services - PwC Advisory,VP,Pending
INV-67340,2024-03-23,MSFT,IT & Software,Legal,41645.9,IT & Software - MSFT,Manager,Paid
INV-18130,2024-03-23,Meta Ads,Marketing & Advertising,Finance,78690.83,Marketing & Advertising - Meta Ads,VP,Paid
INV-26762,2024-03-23,HubSpot,Marketing & Advertising,HR,51957.11,Marketing & Advertising - HubSpot,Director,Paid
INV-53397,2024-03-25,UPS Supply Chain,Logistics & Freight,Sales,12224.89,Logistics & Freight - UPS Supply Chain,Director,Paid
INV-46025,2024-03-26,DHL Express,Logistics & Freight,Operations,4999,Logistics & Freight - DHL Express,Director,Paid
INV-35415,2024-03-27,Mailchimp,Marketing & Advertising,Finance,6572.16,Marketing & Advertising - Mailchimp,VP,Paid
INV-22793,2024-03-28,Con Edison,Utilities,Finance,25298.84,Utilities - Con Edison,Auto-approved,Paid
INV-62654,2024-03-29,Office Depot,Office Supplies,Engineering,1413.3,Office Supplies - Office Depot,Manager,Pending
INV-50037,2024-03-29,Deloitte Consulting,Professional Services,Sales,24999,Professional Services - Deloitte Consulting,VP,Pending
INV-20202,2024-03-30,Grainger,Raw Materials,HR,28872.81,Raw Materials - Grainger,VP,Pending
INV-63964,2024-03-31,KPMG LLP,Professional Services,Legal,24999,Professional Services - KPMG LLP,Director,Paid
INV-37444,2024-03-31,WeWork,Facilities & Real Estate,Sales,32714.58,Facilities & Real Estate - WeWork,Director,Paid
INV-15965,2024-04-01,Mailchimp,Marketing & Advertising,Finance,24530.27,Marketing & Advertising - Mailchimp,Manager,Paid
INV-29162,2024-04-01,DHL Express,Logistics & Freight,Marketing,11413.87,Logistics & Freight - DHL Express,Auto-approved,Paid
INV-96628,2024-04-02,UPS Supply Chain,Logistics & Freight,HR,11000.39,Logistics & Freight - UPS Supply Chain,VP,Paid
INV-49418,2024-04-04,Uber for Business,Travel & Expenses,Operations,11340.8,Travel & Expenses - Uber for Business,Director,Pending
INV-17698,2024-04-04,Grainger,Raw Materials,Operations,68850.55,Raw Materials - Grainger,Manager,Paid
INV-15848,2024-04-04,Grainger,Raw Materials,Operations,28455.52,Raw Materials - Grainger,VP,Pending
INV-81057,2024-04-06,PwC Advisory,Professional Services,HR,209990.73,Professional Services - PwC Advisory,VP,Paid
INV-70637,2024-04-07,LinkedIn Marketing,Marketing & Advertising,Marketing,43134.72,Marketing & Advertising - LinkedIn Marketing,Director,Paid
INV-80575,2024-04-07,Indeed,HR & Recruitment,HR,13000,HR & Recruitment - Indeed,Director,Paid
INV-57235,2024-04-12,Meta Ads,Marketing & Advertising,Legal,67039.65,Marketing & Advertising - Meta Ads,Director,Paid
INV-51853,2024-04-14,Office Depot,Office Supplies,Operations,1733.95,Office Supplies - Office Depot,VP,Pending
INV-18163,2024-04-14,FedEx,Logistics & Freight,Sales,8325.47,Logistics & Freight - FedEx,Director,Paid
INV-86865,2024-04-14,MSFT,IT & Software,HR,146172.69,IT & Software - MSFT,Manager,Paid
INV-12560,2024-04-15,FedEx,Logistics & Freight,Engineering,16691.25,Logistics & Freight - FedEx,Auto-approved,Pending
INV-69303,2024-04-15,WeWork,Facilities & Real Estate,Operations,53069.25,Facilities & Real Estate - WeWork,VP,Paid
INV-99417,2024-04-15,Mailchimp,Marketing & Advertising,Sales,22000,Marketing & Advertising - Mailchimp,Manager,Pending
INV-41439,2024-04-16,Microsoft Corp,IT & Software,Legal,94201.74,IT & Software - Microsoft Corp,Director,Paid
INV-63627,2024-04-17,Staples Business,Office Supplies,Sales,2220.35,Office Supplies - Staples Business,Auto-approved,Paid
INV-24160,2024-04-17,Microsoft Corporation,IT & Software,Finance,38181.59,IT & Software - Microsoft Corporation,Manager,Paid
INV-99989,2024-04-19,CBRE,Facilities & Real Estate,Sales,63551.84,Facilities & Real Estate - CBRE,Auto-approved,Paid
INV-47125,2024-04-20,FedEx,Logistics & Freight,Finance,15147.87,Logistics & Freight - FedEx,Auto-approved,Paid
INV-79176,2024-04-20,AWS,IT & Software,Finance,125409.5,IT & Software - AWS,Auto-approved,Paid
INV-32356,2024-04-20,Marriott Hotels,Travel & Expenses,Engineering,6793.13,Travel & Expenses - Marriott Hotels,Director,Pending
INV-51104,2024-04-21,Meta Ads,Marketing & Advertising,Finance,77512.39,Marketing & Advertising - Meta Ads,Manager,Paid
INV-52318,2024-04-21,Grainger,Raw Materials,Operations,72641.51,Raw Materials - Grainger,VP,Paid
INV-55258,2024-04-21,3M Company,Raw Materials,Sales,15865.79,Raw Materials - 3M Company,Director,Paid
INV-16175,2024-04-22,Workday HCM,HR & Recruitment,Finance,49868.96,HR & Recruitment - Workday HCM,Manager,Paid
INV-19359,2024-04-25,McKinsey & Company,Professional Services,HR,163670.51,Professional Services - McKinsey & Company,Manager,Paid
INV-83048,2024-04-25,PwC Advisory,Professional Services,Legal,215734.45,Professional Services - PwC Advisory,VP,Paid
INV-97486,2024-04-25,Staples Business,Office Supplies,Finance,4193.54,Office Supplies - Staples Business,Manager,Paid
INV-46517,2024-04-26,CBRE,Facilities & Real Estate,Finance,23846.51,Facilities & Real Estate - CBRE,Manager,Paid
INV-34498,2024-04-27,DHL Express,Logistics & Freight,Marketing,1726.35,Logistics & Freight - DHL Express,Director,Paid
INV-98503,2024-04-27,McKinsey & Company,Professional Services,Sales,106580.35,Professional Services - McKinsey & Company,Auto-approved,Pending
INV-28367,2024-04-29,Workday HCM,HR & Recruitment,Operations,27448.23,HR & Recruitment - Workday HCM,VP,Paid
INV-86638,2024-04-29,DHL Express,Logistics & Freight,Finance,1678.81,Logistics & Freight - DHL Express,Manager,Paid
INV-63138,2024-04-30,LinkedIn Talent,HR & Recruitment,Sales,4044.09,HR & Recruitment - LinkedIn Talent,VP,Paid
INV-21536,2024-04-30,Workday HCM,HR & Recruitment,Legal,4862.7,HR & Recruitment - Workday HCM,Auto-approved,Pending
INV-58816,2024-05-01,WeWork,Facilities & Real Estate,Sales,6830.52,Facilities & Real Estate - WeWork,Manager,Paid
INV-69424,2024-05-02,UPS Supply Chain,Logistics & Freight,Sales,1346.54,Logistics & Freight - UPS Supply Chain,Manager,Paid
INV-80852,2024-05-03,KPMG LLP,Professional Services,HR,143840.5,Professional Services - KPMG LLP,VP,Pending
INV-15226,2024-05-03,CBRE,Facilities & Real Estate,Operations,90640.65,Facilities & Real Estate - CBRE,VP,Pending
INV-93886,2024-05-05,KPMG LLP,Professional Services,HR,45033.61,Professional Services - KPMG LLP,Director,Paid
INV-80981,2024-05-05,Grainger,Raw Materials,Legal,12000,Raw Materials - Grainger,VP,Paid
INV-15806,2024-05-07,Microsoft Corp,IT & Software,Legal,98982.65,IT & Software - Microsoft Corp,Auto-approved,Paid
INV-23462,2024-05-07,Microsoft Corporation,IT & Software,Sales,34713.59,IT & Software - Microsoft Corporation,Auto-approved,Paid
INV-43901,2024-05-08,Google Ads,Marketing & Advertising,Legal,44867.69,Marketing & Advertising - Google Ads,Auto-approved,Pending
INV-19694,2024-05-09,Uber for Business,Travel & Expenses,Marketing,9914.08,Travel & Expenses - Uber for Business,Auto-approved,Pending
INV-70981,2024-05-10,Staples Business,Office Supplies,Sales,2324.87,Office Supplies - Staples Business,VP,Paid
INV-18799,2024-05-10,JLL Property,Facilities & Real Estate,Sales,38681.5,Facilities & Real Estate - JLL Property,Manager,Paid
INV-59146,2024-05-11,McKinsey & Company,Professional Services,Operations,137358.14,Professional Services - McKinsey & Company,Auto-approved,Pending
INV-61876,2024-05-13,AT&T Business,Utilities,Finance,6525.65,Utilities - AT&T Business,Director,Paid
INV-23947,2024-05-14,Staples Business,Office Supplies,Engineering,4860.85,Office Supplies - Staples Business,VP,Paid
INV-62163,2024-05-14,Zoom Video,IT & Software,Engineering,33145.7,IT & Software - Zoom Video,VP,Pending
INV-69663,2024-05-14,AT&T Business,Utilities,Engineering,21513.54,Utilities - AT&T Business,VP,Paid
INV-12441,2024-05-14,Grainger,Raw Materials,Marketing,55282.3,Raw Materials - Grainger,Manager,Pending
INV-80686,2024-05-15,3M Company,Raw Materials,Marketing,40047.86,Raw Materials - 3M Company,Director,Paid
INV-45697,2024-05-15,Microsoft Corp,IT & Software,Marketing,18198.87,IT & Software - Microsoft Corp,VP,Paid
INV-51114,2024-05-15,Google Ads,Marketing & Advertising,HR,3541.45,Marketing & Advertising - Google Ads,Auto-approved,Paid
INV-98125,2024-05-15,Workday HCM,HR & Recruitment,Engineering,27292.04,HR & Recruitment - Workday HCM,VP,Pending
INV-62505,2024-05-15,UPS Supply Chain,Logistics & Freight,Marketing,14604.66,Logistics & Freight - UPS Supply Chain,Manager,Paid
INV-66973,2024-05-17,KPMG LLP,Professional Services,Marketing,78777.16,Professional Services - KPMG LLP,VP,Pending
INV-53910,2024-05-17,LinkedIn Talent,HR & Recruitment,Marketing,36913.86,HR & Recruitment - LinkedIn Talent,Auto-approved,Paid
INV-10800,2024-05-19,AWS,IT & Software,Marketing,105702.12,IT & Software - AWS,Director,Paid
INV-70150,2024-05-19,Con Edison,Utilities,Operations,6187.94,Utilities - Con Edison,VP,Paid
INV-81482,2024-05-20,McKinsey & Company,Professional Services,Engineering,64998.5,Professional Services - McKinsey & Company,Manager,Pending
INV-69600,2024-05-21,Adobe Systems,IT & Software,Operations,29281.48,IT & Software - Adobe Systems,Manager,Paid
INV-42725,2024-05-21,FedEx,Logistics & Freight,Engineering,17367.54,Logistics & Freight - FedEx,Director,Paid
INV-54597,2024-05-22,DHL Express,Logistics & Freight,HR,4999,Logistics & Freight - DHL Express,VP,Paid
INV-91490,2024-05-22,McKinsey & Company,Professional Services,Legal,145654.5,Professional Services - McKinsey & Company,Manager,Paid
INV-23336,2024-05-22,HubSpot,Marketing & Advertising,Marketing,60309.88,Marketing & Advertising - HubSpot,Director,Paid
INV-78919,2024-05-23,Adobe Systems,IT & Software,Engineering,58069.28,IT & Software - Adobe Systems,Director,Paid
INV-39878,2024-05-23,Uber for Business,Travel & Expenses,Finance,12658.41,Travel & Expenses - Uber for Business,Director,Paid
INV-31241,2024-05-24,Staples Business,Office Supplies,Legal,3901.71,Office Supplies - Staples Business,Director,Paid
INV-69866,2024-05-24,Zoom Video,IT & Software,Operations,116255.59,IT & Software - Zoom Video,Manager,Paid
INV-82199,2024-05-25,CBRE,Facilities & Real Estate,HR,84901.5,Facilities & Real Estate - CBRE,VP,Paid
INV-69067,2024-05-25,LinkedIn Marketing,Marketing & Advertising,Engineering,49751.5,Marketing & Advertising - LinkedIn Marketing,VP,Paid
INV-44620,2024-05-26,Microsoft Corp,IT & Software,Legal,130253.81,IT & Software - Microsoft Corp,Auto-approved,Pending
INV-92578,2024-05-27,3M Company,Raw Materials,Marketing,33420.59,Raw Materials - 3M Company,Director,Paid
INV-46663,2024-05-27,LinkedIn Talent,HR & Recruitment,HR,4603.06,HR & Recruitment - LinkedIn Talent,Manager,Paid
INV-71894,2024-05-29,PwC Advisory,Professional Services,Operations,129673.64,Professional Services - PwC Advisory,Director,Pending
INV-86225,2024-05-30,AWS,IT & Software,Engineering,34017.86,IT & Software - AWS,VP,Pending
INV-64921,2024-06-01,Microsoft Corporation,IT & Software,Finance,113267.79,IT & Software - Microsoft Corporation,Director,Pending
INV-84177,2024-06-03,Microsoft Corp,IT & Software,Sales,127693.69,IT & Software - Microsoft Corp,Manager,Paid
INV-91633,2024-06-03,Marriott Hotels,Travel & Expenses,Marketing,1915.54,Travel & Expenses - Marriott Hotels,Auto-approved,Paid
INV-59792,2024-06-04,Microsoft Corp,IT & Software,Marketing,2008.34,IT & Software - Microsoft Corp,VP,Pending
INV-20744,2024-06-05,DHL Express,Logistics & Freight,Finance,9842.03,Logistics & Freight - DHL Express,VP,Paid
INV-86751,2024-06-06,CBRE,Facilities & Real Estate,Marketing,43206.31,Facilities & Real Estate - CBRE,VP,Pending
INV-20057,2024-06-07,Con Edison,Utilities,Engineering,24999,Utilities - Con Edison,Manager,Pending
INV-35430,2024-06-07,Grainger,Raw Materials,Marketing,72454.15,Raw Materials - Grainger,VP,Pending
INV-71186,2024-06-09,JLL Property,Facilities & Real Estate,HR,20603.74,Facilities & Real Estate - JLL Property,Auto-approved,Paid
INV-62205,2024-06-10,Google Ads,Marketing & Advertising,Legal,1744.82,Marketing & Advertising - Google Ads,Manager,Paid
INV-84127,2024-06-11,Google Ads,Marketing & Advertising,HR,73722.54,Marketing & Advertising - Google Ads,Manager,Pending
INV-29142,2024-06-12,Mailchimp,Marketing & Advertising,Engineering,74500.66,Marketing & Advertising - Mailchimp,Director,Paid
INV-83731,2024-06-12,Office Depot,Office Supplies,Legal,4575.94,Office Supplies - Office Depot,Director,Paid
INV-85481,2024-06-12,Google Ads,Marketing & Advertising,Operations,23670.13,Marketing & Advertising - Google Ads,Director,Paid
INV-34633,2024-06-13,DHL Express,Logistics & Freight,Legal,5534.52,Logistics & Freight - DHL Express,Auto-approved,Paid
INV-77425,2024-06-14,Grainger,Raw Materials,Marketing,73446.01,Raw Materials - Grainger,Manager,Paid
INV-90805,2024-06-16,Con Edison,Utilities,Marketing,27975.38,Utilities - Con Edison,VP,Paid
INV-38080,2024-06-18,Zoom Video,IT & Software,Engineering,11557.75,IT & Software - Zoom Video,Director,Pending
INV-85220,2024-06-18,Deloitte Consulting,Professional Services,Engineering,35019.28,Professional Services - Deloitte Consulting,Auto-approved,Pending
INV-18992,2024-06-19,AWS,IT & Software,Engineering,37291.77,IT & Software - AWS,Director,Paid
INV-34906,2024-06-19,HubSpot,Marketing & Advertising,Legal,24603.45,Marketing & Advertising - HubSpot,Manager,Pending
INV-55082,2024-06-21,HubSpot,Marketing & Advertising,Legal,8625.72,Marketing & Advertising - HubSpot,VP,Paid
INV-33002,2024-06-21,Microsoft Corporation,IT & Software,Sales,118824.38,IT & Software - Microsoft Corporation,Auto-approved,Pending
INV-70899,2024-06-22,CBRE,Facilities & Real Estate,HR,81723.87,Facilities & Real Estate - CBRE,Auto-approved,Paid
INV-84395,2024-06-23,FedEx,Logistics & Freight,Operations,3316.7,Logistics & Freight - FedEx,Manager,Paid
INV-64099,2024-06-24,Delta Airlines,Travel & Expenses,Operations,14560.33,Travel & Expenses - Delta Airlines,VP,Paid
INV-69473,2024-06-25,3M Company,Raw Materials,HR,32487.28,Raw Materials - 3M Company,VP,Paid
INV-42780,2024-06-25,Zoom Video,IT & Software,Operations,148160.1,IT & Software - Zoom Video,Auto-approved,Paid
INV-31079,2024-06-27,MSFT,IT & Software,Operations,61843.87,IT & Software - MSFT,VP,Pending
INV-78241,2024-06-27,Indeed,HR & Recruitment,Legal,23490.9,HR & Recruitment - Indeed,Auto-approved,Paid
INV-96400,2024-06-29,Mailchimp,Marketing & Advertising,HR,17910.86,Marketing & Advertising - Mailchimp,Director,Paid
INV-46211,2024-06-30,Amazon Business,Office Supplies,Marketing,3999.27,Office Supplies - Amazon Business,Manager,Paid
INV-60493,2024-06-30,AWS,IT & Software,Engineering,83578.75,IT & Software - AWS,Manager,Paid
